timestamp,job_title,company,location,job_id,url,reason
2026-04-08 01:39:49,AI & Digital Engineering Leader Diversity,Quadrangle,"Hybrid - Bengaluru, Pune, Delhi / NCR",010426012552,https://www.naukri.com/job-listings-ai-digital-engineering-leader-diversity-quadrangle-pune-bengaluru-delhi-ncr-20-to-28-years-010426012552,Chatbot flow incomplete
2026-04-08 01:39:58,AI/ML Computational Science Sr Manager,Accenture,Bengaluru,020426931071,https://www.naukri.com/job-listings-ai-ml-computational-science-sr-manager-accenture-solutions-pvt-ltd-bengaluru-16-to-25-years-020426931071,Unknown application flow
2026-04-08 01:40:10,AI / ML Engineer,Accenture,Bengaluru,310326930081,https://www.naukri.com/job-listings-ai-ml-engineer-accenture-solutions-pvt-ltd-bengaluru-15-to-25-years-310326930081,Unknown application flow
2026-04-08 01:40:20,Senior Director - Technology Leader,3P HR Consultants,"Hybrid - Bengaluru, Hyderabad, Chennai",020426024674,https://www.naukri.com/job-listings-senior-director-technology-leader-3p-consultants-hyderabad-chennai-bengaluru-20-to-30-years-020426024674,Unknown application flow
2026-04-08 01:40:29,Software Development Lead,Accenture,Bengaluru,070426931996,https://www.naukri.com/job-listings-software-development-lead-accenture-solutions-pvt-ltd-bengaluru-15-to-25-years-070426931996,Unknown application flow
2026-04-08 01:40:38,Enterprise Architect,Virtusa,Bengaluru,020426922181,https://www.naukri.com/job-listings-enterprise-architect-virtusa-consulting-services-pvt-ltd-bengaluru-20-to-25-years-020426922181,Unknown application flow
2026-04-08 01:41:26,AI & Digital Engineering Leader Diversity,Quadrangle,"Hybrid - Bengaluru, Pune, Delhi / NCR",010426012552,https://www.naukri.com/job-listings-ai-digital-engineering-leader-diversity-quadrangle-pune-bengaluru-delhi-ncr-20-to-28-years-010426012552,Chatbot flow incomplete
2026-04-08 01:42:13,AI & Digital Engineering Leader Diversity,Quadrangle,"Hybrid - Bengaluru, Pune, Delhi / NCR",010426012552,https://www.naukri.com/job-listings-ai-digital-engineering-leader-diversity-quadrangle-pune-bengaluru-delhi-ncr-20-to-28-years-010426012552,Chatbot flow incomplete
2026-04-08 01:43:02,AI & Digital Engineering Leader Diversity,Quadrangle,"Hybrid - Bengaluru, Pune, Delhi / NCR",010426012552,https://www.naukri.com/job-listings-ai-digital-engineering-leader-diversity-quadrangle-pune-bengaluru-delhi-ncr-20-to-28-years-010426012552,Chatbot flow incomplete
2026-04-08 01:43:48,AI & Digital Engineering Leader Diversity,Quadrangle,"Hybrid - Bengaluru, Pune, Delhi / NCR",010426012552,https://www.naukri.com/job-listings-ai-digital-engineering-leader-diversity-quadrangle-pune-bengaluru-delhi-ncr-20-to-28-years-010426012552,Chatbot flow incomplete
